Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;20;0.000224;0.000444;0.000336;0.000341;0.000065
Test Rastrigin;20;2.984895;10.944593;6.821212;6.964734;1.969446
Test Shubert;2;0.930939;147.132055;70.873632;76.912911;47.597693
Test Shekel;4;0.060571;8.597258;4.998951;5.232097;2.491077
Test Griewank;20;0.000000;0.000000;0.000000;0.000000;0.000000
Test Perm;20;0.000391;196.060420;32.295247;5.497293;58.665700
Test rotated;20;0.000000;0.328594;0.018509;0.000001;0.071711
Test Zakharov;20;0.000040;1.655955;0.092193;0.000110;0.359686
Test simple quandric;1;0.000000;1.380114;0.107901;0.000285;0.310073
Test sin*cos;2;0.000000;0.152351;0.028289;0.006497;0.043176
