Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;5;98.011000;166.566000;106.415600;100.662000;15.626697
Test Rastrigin;5;95.513000;100.670000;97.017450;96.847000;1.190458
Test Shubert;2;20.200000;22.740000;20.929100;20.913500;0.559984
Test Shekel;4;73.047000;76.386000;73.868150;73.633000;0.744117
Test Griewank;5;98.796000;131.170000;109.663100;102.349500;11.065682
Test Perm;5;204.541000;276.080000;236.176900;231.949500;26.313022
Test rotated;5;93.133000;112.003000;96.724300;94.755500;5.061914
Test Zakharov;5;95.055000;127.507000;102.509400;97.832500;10.092701
Test simple quandric;1;3.611000;3.834000;3.693150;3.661000;0.074040
Test sin*cos;2;14.947000;18.670000;15.387750;15.169000;0.802054
