Name;N;Best;Worst;Mean;Median;Standard Deviation
Test Ackeley;20;1.540239;2.788780;1.765669;1.663495;0.287513
Test Rastrigin;20;1.579219;2.141654;1.777991;1.740405;0.151537
Test Shubert;2;0.019892;0.022973;0.020933;0.020776;0.000709
Test Shekel;4;0.072594;0.081181;0.074634;0.073612;0.002108
Test Griewank;20;1.566291;2.035064;1.692087;1.612405;0.144463
Test Perm;20;12.690800;13.863499;13.200657;13.143130;0.342212
Test rotated;20;1.766202;2.275645;1.925956;1.872507;0.126268
Test Zakharov;20;1.454815;1.741307;1.558818;1.546179;0.070220
Test simple quandric;1;0.003651;0.003995;0.003754;0.003724;0.000111
Test sin*cos;2;0.014455;0.016155;0.015074;0.014939;0.000491
